Timestamp, AvailableBikes, AvailableDocks
1370056949, 36, 0
1370056973, 36, 0
1370057402, 36, 0
1370057462, 36, 0
1370057522, 36, 0
1370057581, 36, 0
1370057641, 36, 0
1370057702, 36, 0
1370057762, 36, 0
1370057822, 36, 0
1370057881, 36, 0
1370057941, 36, 0
1370058001, 36, 0
1370058062, 36, 0
1370058121, 36, 0
1370058182, 36, 0
1370058242, 36, 0
1370058307, 36, 0
1370058363, 36, 0
1370058429, 36, 0
1370058481, 36, 0
1370058545, 36, 0
1370058602, 36, 0
1370058661, 36, 0
1370058722, 36, 0
1370058784, 36, 0
1370058841, 36, 0
1370058907, 36, 0
1370058962, 36, 0
1370059021, 36, 0
1370059089, 36, 0
1370059142, 36, 0
1370059202, 36, 0
1370059262, 36, 0
1370059321, 36, 0
1370059382, 36, 0
1370059442, 36, 0
1370059502, 36, 0
