date,availableBikes,availableDocks
1370056949,26,19
1370056973,26,19
1370057402,26,19
1370057462,26,19
1370057522,26,19
1370057581,26,19
1370057641,26,19
1370057702,26,19
1370057762,26,19
1370057822,26,19
1370057881,26,19
1370057941,26,19
1370058001,26,19
1370058062,26,19
1370058121,26,19
1370058182,27,18
1370058242,27,18
1370058307,27,18
1370058363,27,18
1370058429,27,18
1370058481,27,18
1370058545,27,18
1370058602,27,18
1370058661,27,18
1370058722,27,18
1370058784,27,18
1370058841,27,18
1370058907,27,18
1370058962,27,18
1370059021,27,18
1370059089,27,18
1370059142,27,18
1370059202,27,18
1370059262,27,18
1370059321,27,18
1370059382,27,18
1370059442,27,18
1370059502,27,18
1370059561,27,18
1370059622,27,18
1370059681,27,18
1370059742,27,18
1370059802,27,18
1370059861,27,18
1370059922,27,18
1370059981,27,18
1370060041,27,18
1370060102,27,18
1370060161,27,18
1370060224,27,18
1370060281,27,18
1370060341,27,18
1370060401,27,18
1370060464,27,18
1370060522,27,18
1370060585,27,18
1370060641,27,18
1370060702,27,18
1370060762,27,18
1370060822,27,18
1370060881,27,18
1370060942,27,18
1370061002,27,18
1370061061,27,18
1370061121,27,18
1370061181,27,18
1370061241,27,18
1370061302,27,18
1370061364,27,18
1370061421,27,18
1370061482,27,18
1370061542,27,18
1370061602,27,18
1370061661,27,18
1370061722,27,18
1370061782,27,18
1370061844,27,18
