Timestamp, AvailableBikes, AvailableDocks
1370056949, 15, 21
1370056973, 14, 22
1370057402, 14, 22
1370057462, 14, 22
1370057522, 14, 22
1370057581, 14, 22
1370057641, 14, 22
1370057702, 14, 22
1370057762, 14, 22
1370057822, 14, 22
1370057881, 14, 22
1370057941, 14, 22
1370058001, 14, 22
1370058062, 14, 22
1370058121, 14, 22
1370058182, 14, 22
1370058242, 14, 22
1370058307, 14, 22
1370058363, 14, 22
1370058429, 14, 22
1370058481, 14, 22
1370058545, 14, 22
1370058602, 14, 22
1370058661, 14, 22
1370058722, 14, 22
1370058784, 14, 22
1370058841, 14, 22
1370058907, 14, 22
1370058962, 14, 22
1370059021, 14, 22
1370059089, 14, 22
1370059142, 14, 22
1370059202, 14, 22
1370059262, 14, 22
1370059321, 14, 22
1370059382, 14, 22
1370059442, 14, 22
1370059502, 14, 22
