Timestamp, AvailableBikes, AvailableDocks
1370056949, 21, 10
1370056973, 21, 10
1370057402, 21, 10
1370057462, 21, 10
1370057522, 21, 10
1370057581, 21, 10
1370057641, 21, 10
1370057702, 21, 10
1370057762, 21, 10
1370057822, 21, 10
1370057881, 21, 10
1370057941, 21, 10
1370058001, 21, 10
1370058062, 21, 10
1370058121, 21, 10
1370058182, 21, 10
1370058242, 21, 10
1370058307, 21, 10
1370058363, 21, 10
1370058429, 21, 10
1370058481, 21, 10
1370058545, 21, 10
1370058602, 21, 10
1370058661, 21, 10
1370058722, 21, 10
1370058784, 21, 10
1370058841, 21, 10
1370058907, 21, 10
1370058962, 21, 10
1370059021, 21, 10
1370059089, 21, 10
1370059142, 21, 10
1370059202, 21, 10
1370059262, 21, 10
1370059321, 21, 10
1370059382, 21, 10
1370059442, 21, 10
1370059502, 21, 10
