Timestamp, AvailableBikes, AvailableDocks
1370056949, 9, 7
1370056973, 9, 7
1370057402, 9, 7
1370057462, 9, 7
1370057522, 9, 7
1370057581, 9, 7
1370057641, 9, 7
1370057702, 9, 7
1370057762, 9, 7
1370057822, 9, 7
1370057881, 9, 7
1370057941, 9, 7
1370058001, 9, 7
1370058062, 9, 7
1370058121, 9, 7
1370058182, 9, 7
1370058242, 9, 7
1370058307, 9, 7
1370058363, 9, 7
1370058429, 9, 7
1370058481, 9, 7
1370058545, 9, 7
1370058602, 9, 7
1370058661, 9, 7
1370058722, 9, 7
1370058784, 9, 7
1370058841, 9, 7
1370058907, 9, 7
1370058962, 9, 7
1370059021, 9, 7
1370059089, 9, 7
1370059142, 9, 7
1370059202, 9, 7
1370059262, 9, 7
1370059321, 9, 7
1370059382, 9, 7
1370059442, 9, 7
1370059502, 9, 7
