date,availableBikes,availableDocks
1370056949,20,6
1370056973,20,6
1370057402,20,6
1370057462,20,6
1370057522,20,6
1370057581,20,6
1370057641,20,6
1370057702,20,6
1370057762,20,6
1370057822,20,6
1370057881,20,6
1370057941,20,6
1370058001,20,6
1370058062,20,6
1370058121,20,6
1370058182,20,6
1370058242,20,6
1370058307,20,6
1370058363,20,6
1370058429,20,6
1370058481,20,6
1370058545,20,6
1370058602,20,6
1370058661,20,6
1370058722,20,6
1370058784,20,6
1370058841,20,6
1370058907,20,6
1370058962,20,6
1370059021,20,6
1370059089,20,6
1370059142,20,6
1370059202,20,6
1370059262,20,6
1370059321,20,6
1370059382,20,6
1370059442,20,6
1370059502,20,6
1370059561,20,6
1370059622,20,6
1370059681,20,6
1370059742,20,6
1370059802,20,6
1370059861,20,6
1370059922,20,6
1370059981,20,6
1370060041,20,6
1370060102,20,6
1370060161,20,6
1370060224,20,6
1370060281,20,6
1370060341,20,6
1370060401,20,6
1370060464,20,6
1370060522,20,6
1370060585,20,6
1370060641,20,6
1370060702,20,6
1370060762,20,6
1370060822,20,6
1370060881,20,6
1370060942,20,6
1370061002,20,6
1370061061,20,6
1370061121,20,6
1370061181,20,6
1370061241,20,6
1370061302,20,6
1370061364,20,6
1370061421,20,6
1370061482,20,6
1370061542,20,6
1370061602,20,6
1370061661,20,6
1370061722,20,6
1370061782,20,6
1370061844,20,6
