Timestamp, AvailableBikes, AvailableDocks
1370056949, 20, 24
1370056973, 21, 23
1370057402, 21, 23
1370057462, 21, 23
1370057522, 21, 23
1370057581, 21, 23
1370057641, 21, 23
1370057702, 21, 23
1370057762, 21, 23
1370057822, 21, 23
1370057881, 21, 23
1370057941, 21, 23
1370058001, 21, 23
1370058062, 21, 23
1370058121, 21, 23
1370058182, 21, 23
1370058242, 21, 23
1370058307, 21, 23
1370058363, 21, 23
1370058429, 21, 23
1370058481, 21, 23
1370058545, 21, 23
1370058602, 21, 23
1370058661, 21, 23
1370058722, 21, 23
1370058784, 21, 23
1370058841, 21, 23
1370058907, 21, 23
1370058962, 21, 23
1370059021, 21, 23
1370059089, 21, 23
1370059142, 21, 23
1370059202, 21, 23
1370059262, 21, 23
1370059321, 21, 23
1370059382, 21, 23
1370059442, 22, 22
1370059502, 22, 22
