Timestamp, AvailableBikes, AvailableDocks
1370056949, 23, 0
1370056973, 23, 0
1370057402, 23, 0
1370057462, 23, 0
1370057522, 23, 0
1370057581, 23, 0
1370057641, 23, 0
1370057702, 23, 0
1370057762, 23, 0
1370057822, 23, 0
1370057881, 23, 0
1370057941, 23, 0
1370058001, 23, 0
1370058062, 23, 0
1370058121, 23, 0
1370058182, 23, 0
1370058242, 23, 0
1370058307, 23, 0
1370058363, 23, 0
1370058429, 23, 0
1370058481, 23, 0
1370058545, 23, 0
1370058602, 23, 0
1370058661, 23, 0
1370058722, 23, 0
1370058784, 23, 0
1370058841, 23, 0
1370058907, 23, 0
1370058962, 23, 0
1370059021, 23, 0
1370059089, 23, 0
1370059142, 23, 0
1370059202, 23, 0
1370059262, 23, 0
1370059321, 23, 0
1370059382, 23, 0
1370059442, 23, 0
1370059502, 23, 0
