Timestamp, AvailableBikes, AvailableDocks
1370056949, 26, 13
1370056973, 26, 13
1370057402, 26, 13
1370057462, 26, 13
1370057522, 26, 13
1370057581, 26, 13
1370057641, 26, 13
1370057702, 26, 13
1370057762, 26, 13
1370057822, 26, 13
1370057881, 26, 13
1370057941, 26, 13
1370058001, 26, 13
1370058062, 26, 13
1370058121, 26, 13
1370058182, 26, 13
1370058242, 26, 13
1370058307, 26, 13
1370058363, 26, 13
1370058429, 26, 13
1370058481, 26, 13
1370058545, 26, 13
1370058602, 26, 13
1370058661, 26, 13
1370058722, 26, 13
1370058784, 26, 13
1370058841, 26, 13
1370058907, 26, 13
1370058962, 26, 13
1370059021, 26, 13
1370059089, 26, 13
1370059142, 26, 13
1370059202, 26, 13
1370059262, 26, 13
1370059321, 26, 13
1370059382, 26, 13
1370059442, 26, 13
1370059502, 26, 13
